insert into Berth values ( 0, 16508, 'S0', 'M','N' );
insert into Berth values ( 1, 16508, 'S0', 'U','Y' );
insert into Berth values ( 2, 16508, 'S0', 'L','N' );
insert into Berth values ( 3, 16508, 'S0', 'M','N' );
insert into Berth values ( 4, 16508, 'S0', 'L','N' );
insert into Berth values ( 5, 16508, 'S0', 'M','Y' );
insert into Berth values ( 6, 16508, 'S0', 'M','Y' );
insert into Berth values ( 7, 16508, 'S0', 'M','N' );
insert into Berth values ( 8, 16508, 'S0', 'U','N' );
insert into Berth values ( 9, 16508, 'S0', 'U','Y' );
insert into Berth values ( 10, 16508, 'S0', 'M','Y' );
insert into Berth values ( 11, 16508, 'S0', 'M','Y' );
insert into Berth values ( 12, 16508, 'S0', 'M','Y' );
insert into Berth values ( 13, 16508, 'S0', 'U','N' );
insert into Berth values ( 14, 16508, 'S0', 'M','Y' );
insert into Berth values ( 15, 16508, 'S0', 'L','N' );
insert into Berth values ( 16, 16508, 'S0', 'L','N' );
insert into Berth values ( 17, 16508, 'S0', 'U','Y' );
insert into Berth values ( 18, 16508, 'S0', 'L','N' );
insert into Berth values ( 19, 16508, 'S0', 'U','Y' );
insert into Berth values ( 20, 16508, 'S0', 'M','N' );
insert into Berth values ( 21, 16508, 'S0', 'M','Y' );
insert into Berth values ( 22, 16508, 'S0', 'U','Y' );
insert into Berth values ( 23, 16508, 'S0', 'M','N' );
insert into Berth values ( 24, 16508, 'S0', 'U','Y' );
insert into Berth values ( 25, 16508, 'S0', 'U','N' );
insert into Berth values ( 26, 16508, 'S0', 'L','N' );
insert into Berth values ( 27, 16508, 'S0', 'M','N' );
insert into Berth values ( 28, 16508, 'S0', 'L','N' );
insert into Berth values ( 29, 16508, 'S0', 'L','Y' );
insert into Berth values ( 30, 16508, 'S0', 'L','Y' );
insert into Berth values ( 31, 16508, 'S0', 'M','Y' );
insert into Berth values ( 32, 16508, 'S0', 'L','Y' );
insert into Berth values ( 33, 16508, 'S0', 'M','Y' );
insert into Berth values ( 34, 16508, 'S0', 'M','Y' );
insert into Berth values ( 35, 16508, 'S0', 'M','N' );
insert into Berth values ( 36, 16508, 'S0', 'U','Y' );
insert into Berth values ( 37, 16508, 'S0', 'L','Y' );
insert into Berth values ( 38, 16508, 'S0', 'U','Y' );
insert into Berth values ( 39, 16508, 'S0', 'L','N' );
insert into Berth values ( 40, 16508, 'S0', 'L','Y' );
insert into Berth values ( 41, 16508, 'S0', 'U','N' );
insert into Berth values ( 42, 16508, 'S0', 'M','N' );
insert into Berth values ( 43, 16508, 'S0', 'U','N' );
insert into Berth values ( 44, 16508, 'S0', 'L','Y' );
insert into Berth values ( 45, 16508, 'S0', 'U','Y' );
insert into Berth values ( 46, 16508, 'S0', 'U','N' );
insert into Berth values ( 47, 16508, 'S0', 'L','Y' );
insert into Berth values ( 48, 16508, 'S0', 'M','Y' );
insert into Berth values ( 49, 16508, 'S0', 'L','Y' );
insert into Berth values ( 50, 16508, 'S0', 'U','Y' );
insert into Berth values ( 51, 16508, 'S0', 'M','N' );
insert into Berth values ( 52, 16508, 'S0', 'U','N' );
insert into Berth values ( 53, 16508, 'S0', 'U','N' );
insert into Berth values ( 54, 16508, 'S0', 'U','N' );
insert into Berth values ( 55, 16508, 'S0', 'L','N' );
insert into Berth values ( 56, 16508, 'S0', 'U','Y' );
insert into Berth values ( 57, 16508, 'S0', 'M','Y' );
insert into Berth values ( 58, 16508, 'S0', 'M','N' );
insert into Berth values ( 59, 16508, 'S0', 'M','Y' );
insert into Berth values ( 60, 16508, 'S0', 'M','N' );
insert into Berth values ( 61, 16508, 'S0', 'M','N' );
insert into Berth values ( 62, 16508, 'S0', 'U','Y' );
insert into Berth values ( 63, 16508, 'S0', 'M','Y' );
insert into Berth values ( 64, 16508, 'S0', 'L','N' );
insert into Berth values ( 65, 16508, 'S0', 'M','N' );
insert into Berth values ( 66, 16508, 'S0', 'M','N' );
insert into Berth values ( 67, 16508, 'S0', 'M','N' );
insert into Berth values ( 68, 16508, 'S0', 'L','N' );
insert into Berth values ( 69, 16508, 'S0', 'L','N' );
insert into Berth values ( 70, 16508, 'S0', 'L','N' );
insert into Berth values ( 71, 16508, 'S0', 'M','Y' );
insert into Berth values ( 72, 16508, 'S0', 'M','Y' );
insert into Berth values ( 73, 16508, 'S0', 'M','N' );
insert into Berth values ( 74, 16508, 'S0', 'L','N' );
insert into Berth values ( 75, 16508, 'S0', 'U','Y' );
insert into Berth values ( 76, 16508, 'S0', 'U','N' );
insert into Berth values ( 77, 16508, 'S0', 'L','N' );
insert into Berth values ( 78, 16508, 'S0', 'M','Y' );
